symbol,prevprice,currprice,diffP
PANL,2.26,2.38,5.31
SOHON,6.61,6.96,5.3
TISI,5.86,6.17,5.29
ALMIC.PA,19.85,20.9,5.29
CTEK,2.09,2.2,5.26
HGSH,0.38,0.4,5.26
PFIN,4.37,4.6,5.26
MLSEQ.PA,0.019,0.02,5.26
FXP,54.47,57.33,5.25
TPB,22.14,23.3,5.24
ALCLA.PA,24.8,26.1,5.24
NRGZ,44.726,47.0692,5.24
KPN.AS,2.007,2.112,5.23
MEMS.PA,1.15,1.21,5.22
CVV,3.65,3.84,5.21
JJA,36.13,38.01,5.2
SVBI,5.42,5.7,5.17
AQNB,25.99,27.33,5.16
HKIB,7.8,8.2,5.13
CDOR,3.53,3.71,5.1
HSDT,0.404,0.4246,5.1
BGG,2.16,2.27,5.09
COW,30.3063,31.85,5.09
NICK,5.5,5.78,5.09
XXM.TO,7.07,7.43,5.09
MTDR,6.7,7.04,5.07
LTSK,14.8,15.55,5.07
RVX.TO,0.79,0.83,5.06
CEMI,12.09,12.7,5.05
KFFB,5.75,6.04,5.04
SELF,3.78,3.97,5.03
IMVTW,3.38,3.55,5.03
DSS,0.3283,0.3447,5.0
SNDE,3.0,3.15,5.0
ER.TO,0.1,0.105,5.0
OPES,10.62,11.15,4.99
TFG.AS,8.82,9.26,4.99
SLS,2.41,2.53,4.98
ZEAL,33.35,35.0,4.95
IOR,9.5,9.97,4.95
CLDB,13.5015,14.17,4.95
WHLR,1.42,1.49,4.93
INDO,3.8793,4.07,4.92
SGG,32.05,33.625,4.91
XYF,0.8962,0.94,4.89
ELA,3.48,3.65,4.89
FSBC,12.73,13.35,4.87
YJ,4.11,4.31,4.87
SDP,12.1635,12.755,4.86
AOI.TO,1.03,1.08,4.85
RET-A.TO,0.31,0.325,4.84
SONN,4.96,5.2,4.84
MHH,14.93,15.65,4.82
QTRX,25.0,26.2,4.8
ARCT,32.92,34.5,4.8
USOI,6.06,6.35,4.79
MERC,9.62,10.08,4.78
SKF,14.24,14.92,4.78
ERF.TO,3.58,3.75,4.75
SNGX,1.48,1.55,4.73
SHLO,1.06,1.11,4.72
OCFC,16.09,16.85,4.72
SAEX,1.91,2.0,4.71
DPAM.PA,382.0,400.0,4.71
CEN,1.28,1.34,4.69
MGY,6.18,6.47,4.69
GOGL,3.63,3.8,4.68
SIF,2.33,2.4387,4.67
RMX.TO,1.07,1.12,4.67
ERF,2.58,2.7,4.65
TNG.PA,1.636,1.712,4.65
MNK,3.88,4.06,4.64
LTBR,3.23,3.38,4.64
COUP,168.3,176.09,4.63
NVFY,1.08,1.13,4.63
MRO,5.85,6.12,4.62
SCL.TO,1.95,2.04,4.62
NK.PA,27.36,28.62,4.61
MLPG,9.53,9.9661,4.58
VERB,1.31,1.37,4.58
HBP.TO,1.53,1.6,4.58
MLOLM.PA,11.0,11.5,4.55
DBE,7.28,7.61,4.53
SBB,33.2,34.7,4.52
UVXY,40.12,41.93,4.51
RCON,3.78,3.95,4.5
OLEM,7.8,8.15,4.49
CTX.TO,0.67,0.7,4.48
OSTK,12.08,12.62,4.47
CRBP2.PA,24.41,25.5,4.47
IPN.PA,64.85,67.75,4.47
EEV,39.27,41.02,4.46
LJPC,6.95,7.26,4.46
CEU.TO,1.12,1.17,4.46
VSTM,1.81,1.89,4.42
MHNC,20.12,21.01,4.42
MSBF,12.44,12.99,4.42
MLPY,2.72,2.84,4.41
SOGO,3.41,3.56,4.4
MOZ.TO,1.59,1.66,4.4
AWSM,0.057,0.0595,4.39
TAYD,10.3,10.75,4.37
OXSQZ,21.53,22.47,4.37
EFU,23.68,24.71,4.35
IKNX,3.45,3.6,4.35
SIJ,11.021,11.5,4.35
SYPR,0.69,0.72,4.35
XTLB,1.15,1.2,4.35
BBI,1.15,1.2,4.35
ORANW.AS,5.75,6.0,4.35
ALS30.PA,10.35,10.8,4.35
LACK,12.15,12.6742,4.31
GLL,38.5,40.15,4.29
TSRI,3.26,3.4,4.29
PNL.AS,1.5045,1.569,4.29
IMV.TO,3.26,3.4,4.29
DUG,47.5,49.535,4.28
FORTY,65.61,68.42,4.28
CTRC,0.7963,0.8304,4.28
RTLR,6.54,6.82,4.28
AMZN,2372.71,2474.0,4.27
MR,6.55,6.83,4.27
FEYE,11.04,11.51,4.26
EDSA,2.35,2.45,4.26
IMV,2.35,2.45,4.26
TKO.TO,0.47,0.49,4.26
TGB,0.33,0.344,4.24
ENLC,2.13,2.22,4.23
MDIA,3.55,3.7,4.23
ARYAW,1.89,1.97,4.23
NEOEN.PA,33.15,34.55,4.22
GSG,8.14,8.48,4.18
ATRC,41.39,43.12,4.18
UAN,0.9408,0.98,4.17
OPNT,11.31,11.78,4.16
REFR,2.89,3.01,4.15
RBBN,3.5,3.645,4.14
ADUX.PA,1.215,1.265,4.12
WIT,3.16,3.29,4.11
ASPS,8.02,8.35,4.11
IPWR,1.95,2.03,4.1
COG,20.77,21.62,4.09
CONN,6.495,6.76,4.08
ALADO.PA,0.392,0.408,4.08
NEWA,2.2582,2.35,4.07
TCS.TO,22.34,23.25,4.07
ONTEX.BR,16.0,16.65,4.06
MGYR,8.65,9.0,4.05
MDRR,1.73,1.8,4.05
RAM.LS,2.98,3.1,4.03
SMLP,1.25,1.3,4.0
MLGML.PA,0.25,0.26,4.0
BTU,3.26,3.39,3.99
SFPI.PA,1.14,1.185,3.95
FBIO,2.03,2.11,3.94
CIS.BR,42.09,43.75,3.94
ALPHS.PA,8.66,9.0,3.93
GREV.PA,51.0,53.0,3.92
AIMC,26.86,27.91,3.91
EVOK,1.28,1.33,3.91
WEBK,30.94,32.15,3.91
HOLCO.AS,89.5,93.0,3.91
HHR,15.88,16.5,3.9
RWM,39.57,41.11,3.89
HIHO,1.9251,2.0,3.89
KZIA,2.83,2.94,3.89
LIVE,6.5555,6.81,3.88
BELI.PA,30.9,32.1,3.88
DIE.BR,43.9,45.6,3.87
JG,2.34,2.43,3.85
HRR-UN.TO,7.8,8.1,3.85
DC-A.TO,1.04,1.08,3.85
CAI,15.88,16.49,3.84
PAVMW,1.0015,1.04,3.84
XBIT,15.24,15.82,3.81
ALCOR.PA,14.45,15.0,3.81
WSTL,0.778,0.8075,3.79
LYL,0.95,0.986,3.79
RWC.TO,10.03,10.41,3.79
IVAC,5.3,5.5,3.77
FORD,1.06,1.1,3.77
PBTS,2.65,2.75,3.77
ALFOC.PA,21.3,22.1,3.76
AQNA,26.6,27.6,3.76
DRV,20.25,21.01,3.75
HED.TO,12.8,13.28,3.75
BAND,78.62,81.56,3.74
ESI,9.88,10.25,3.74
RVP,2.95,3.06,3.73
EMTY,38.04,39.46,3.73
TAPR,65.855,68.31,3.73
ALANT.PA,6.7,6.95,3.73
ALIMP.PA,1.532,1.589,3.72
SMTPC.PA,17.45,18.1,3.72
FUTU,10.75,11.15,3.72
GFLU,47.25,49.01,3.72
ZCMD,2.15,2.23,3.72
ESN.TO,0.135,0.14,3.7
BKTI,2.72,2.82,3.68
HQI,6.25,6.48,3.68
DBVT,6.0,6.22,3.67
GLPG,212.65,220.45,3.67
LMB,3.0,3.11,3.67
ALTRI.PA,3.28,3.4,3.66
KRKR,3.55,3.68,3.66
REDU,4.38,4.54,3.65
GFL,16.69,17.3,3.65
ALCOG.PA,5.5,5.7,3.64
NIBC.AS,6.61,6.85,3.63
SDOW,30.78,31.89,3.61
ETON,5.0,5.18,3.6
CTXS,139.98,145.01,3.59
FBIOP,18.15,18.8,3.58
ALBLU.PA,5.04,5.22,3.57
IFA.TO,2.8,2.9,3.57
LTSH,15.4,15.95,3.57
EQT,14.09,14.59,3.55
MCF,1.97,2.04,3.55
SUNS,12.67,13.12,3.55
OR.PA,256.2,265.3,3.55
RPD.TO,17.51,18.13,3.54
BKCC,2.84,2.94,3.52
TLYS,5.69,5.89,3.51
OTEL,7.71,7.98,3.5
DWSH,24.29,25.14,3.5
GPE.PA,14.3,14.8,3.5
TMV,48.94,50.65,3.49
LTRPB,36.72,38.0,3.49
TES.PA,74.4,77.0,3.49
UPLD,30.57,31.63,3.47
CYCC,4.04,4.18,3.47
KTOV,0.335,0.3466,3.46
ALNXT.PA,0.405,0.419,3.46
CALB,14.17,14.66,3.46
MUDSW,0.58,0.6,3.45
NDRA,0.78,0.8069,3.45
ALTER.PA,4.06,4.2,3.45
FTAI,11.37,11.76,3.43
CCS,20.71,21.42,3.43
VMX.PA,1.58,1.634,3.42
CLR,15.85,16.39,3.41
STKS,1.76,1.82,3.41
PBB,23.5,24.3,3.4
MBN.TO,5.61,5.8,3.39
OXBR,0.8454,0.874,3.38
ROU.BR,13.35,13.8,3.37
LKQ,25.3,26.15,3.36
VIIX,77.59,80.2,3.36
FTCH,12.81,13.24,3.36
GE,6.58,6.8,3.34
HRZN,9.3,9.61,3.33
SZK,10.3354,10.68,3.33
CRC,2.71,2.8,3.32
ILPT,18.09,18.69,3.32
OSUR,15.43,15.94,3.31
XIOR.BR,40.95,42.3,3.3
VIXY,30.08,31.07,3.29
EPV,30.97,31.99,3.29
RENN,0.91,0.9399,3.29
TVLY.PA,15.2,15.7,3.29
OSL-UN.TO,7.0,7.23,3.29
FNWB,11.28,11.65,3.28
PUYI,6.1,6.3,3.28
BFYT,25.3,26.13,3.28
NNVC,5.81,6.0,3.27
UCHF,19.26,19.8896,3.27
IHT,0.92,0.95,3.26
CRSAU,10.12,10.45,3.26
CPH.TO,0.92,0.95,3.26
KNAB,46.102,47.6058,3.26
EMIH,19.245,19.87,3.25
MREO,1.23,1.27,3.25
ASRV,3.09,3.19,3.24
BOTJ,10.5,10.84,3.24
RCEL,5.87,6.06,3.24
CGIX,3.1,3.2,3.23
ATV,11.0,11.355,3.23
NSEC,15.5,16.0,3.23
FINV,1.86,1.92,3.23
IFMK,1.25,1.29,3.2
RIBT,1.25,1.29,3.2
INTO.BR,21.9,22.6,3.2
ARLP,3.76,3.88,3.19
ET,8.14,8.4,3.19
QTNT,8.97,9.255,3.18
VXX,36.705,37.87,3.17
ONVO,0.4101,0.4231,3.17
FONR,18.9,19.5,3.17
NK,3.78,3.9,3.17
PEIX,0.3432,0.354,3.15
UNG,13.0,13.41,3.15
RILYZ,22.25,22.95,3.15
LBTYA,18.83,19.42,3.13
MPV,10.95,11.29,3.11
DVT.PA,67.6,69.7,3.11
EVS.BR,13.52,13.94,3.11
OXUR.BR,2.735,2.82,3.11
KRNY,9.02,9.3,3.1
HUSA,0.1514,0.1561,3.1
MFO,18.75,19.33,3.09
MLND,1.62,1.67,3.09
AZN,50.72,52.28,3.08
MYY,42.59,43.9,3.08
EOS.PA,1.3,1.34,3.08
PRLB,98.56,101.59,3.07
SPRO,12.06,12.43,3.07
NOKIA.PA,3.234,3.333,3.06
NM,2.3,2.37,3.04
EGY,0.9,0.9274,3.04
CLGN,10.86,11.19,3.04
OGD.TO,0.66,0.68,3.03
CMCM,1.99,2.05,3.02
MSVB,11.6,11.95,3.02
HUV.TO,65.66,67.64,3.02
PHGE,5.795,5.97,3.02
VEON,1.66,1.71,3.01
ZIN.TO,22.56,23.24,3.01
PTS.TO,13.31,13.71,3.01
ZTS,125.55,129.31,2.99
YRCW,1.67,1.72,2.99
PAYS,8.35,8.6,2.99
CWBC,6.71,6.91,2.98
GMLPP,20.15,20.75,2.98
APAM,28.59,29.44,2.97
NEP,48.84,50.29,2.97
TANH,1.01,1.04,2.97
STCN,0.7478,0.77,2.97
AZRX,0.6118,0.63,2.97
ALREA.PA,18.55,19.1,2.96
SPXU,14.94,15.38,2.95
CANE,5.25,5.405,2.95
WSG,2.38,2.45,2.94
ALMAS.PA,0.34,0.35,2.94
NB.TO,0.68,0.7,2.94
NVGS,6.48,6.67,2.93
LIND,6.49,6.68,2.93
UONE,1.3213,1.36,2.93
WFC.TO,22.5,23.16,2.93
TNET.BR,37.0,38.08,2.92
HIX.TO,5.48,5.64,2.92
TTT,27.85,28.66,2.91
TVC,25.77,26.52,2.91
SABE.PA,20.6,21.2,2.91
IDG.TO,2.06,2.12,2.91
TNK,19.74,20.31,2.89
ELTK,3.81,3.92,2.89
INMD,25.29,26.02,2.89
PIC.BR,55.6,57.2,2.88
MMC,94.62,97.33,2.86
DYNT,0.8069,0.83,2.86
EMMS,1.4,1.44,2.86
ALMOU.PA,3.5,3.6,2.86
TUB.BR,66.4,68.3,2.86
MTL.TO,5.62,5.78,2.85
DJCI,10.88,11.1892,2.84
RCMT,1.41,1.45,2.84
WALA,24.98,25.69,2.84
DMTK,13.37,13.75,2.84
PAVMZ,1.06,1.09,2.83
BAD.TO,29.42,30.25,2.82
TFFP,4.97,5.11,2.82
RUI.PA,39.84,40.96,2.81
EXPC,9.785,10.06,2.81
